id,originSido,originSigungu,destinationSido,destinationSigungu,cargoType,averageFareKrw,lowFareThresholdKrw
fare-001,서울특별시,송파구,부산광역시,강서구,REFRIGERATED,720000,612000
fare-002,서울특별시,송파구,부산광역시,강서구,GENERAL,680000,578000
fare-003,서울특별시,강동구,부산광역시,강서구,GENERAL,660000,561000
fare-004,서울특별시,강동구,부산광역시,해운대구,REFRIGERATED,700000,595000
fare-005,서울특별시,강남구,부산광역시,해운대구,FROZEN,760000,646000
fare-006,서울특별시,마포구,인천광역시,부평구,GENERAL,160000,136000
fare-007,경기도,수원시,서울특별시,송파구,GENERAL,350000,298000
fare-008,경기도,화성시,충청남도,당진시,CONSTRUCTION,320000,272000
fare-009,인천광역시,서구,대전광역시,유성구,GENERAL,380000,323000
fare-010,경기도,평택시,부산광역시,사상구,REFRIGERATED,650000,553000
fare-011,대전광역시,유성구,경기도,수원시,GENERAL,410000,349000
fare-012,울산광역시,남구,대구광역시,달서구,GENERAL,300000,255000
fare-013,대구광역시,달서구,경상북도,포항시,REFRIGERATED,280000,238000
fare-014,경상남도,창원시,부산광역시,강서구,GENERAL,250000,213000
fare-015,강원특별자치도,원주시,서울특별시,강남구,FROZEN,360000,306000
fare-016,충청북도,청주시,세종특별자치시,세종시,CONSTRUCTION,230000,196000
fare-017,충청남도,천안시,서울특별시,송파구,GENERAL,330000,281000
fare-018,인천광역시,중구,울산광역시,남구,HAZARDOUS,720000,612000
fare-019,전라북도,전주시,대전광역시,유성구,GENERAL,300000,255000
fare-020,광주광역시,광산구,전라남도,여수시,GENERAL,320000,272000
fare-021,경상북도,구미시,대구광역시,북구,GENERAL,240000,204000
fare-022,부산광역시,사상구,경상남도,김해시,REFRIGERATED,250000,213000
fare-023,경기도,용인시,대전광역시,서구,GENERAL,420000,357000
fare-024,부산광역시,해운대구,울산광역시,동구,GENERAL,210000,179000
